fips15,census_tract,census_block,ward_2010,anc_2010
110010062021157,0062,1157,2,2C
110010103003012,0103,3012,4,4B
110010073011024,0073,1024,8,8C
110010094004010,0094,4010,5,5B
110010099052005,0099,2005,7,7E
110010062021007,0062,1007,6,6C
110010016001008,0016,1008,4,4A
110010076015007,0076,5007,8,8A
110010003003003,0003,3003,2,2E
110010093011007,0093,1007,5,5B
110010018031003,0018,1003,4,4A
110010013022007,0013,2007,3,3C
110010089042001,0089,2001,5,5D
110010022013005,0022,3005,4,4D
110010021022009,0021,2009,4,4D
110010079031005,0079,1005,7,7D
110010080012002,0080,2002,6,6A
110010075022003,0075,2003,8,8B
110010104001024,0104,1024,8,8C
110010019012007,0019,2007,4,4B
110010025023002,0025,3002,4,4C
110010111002025,0111,2025,5,5C
110010111003020,0111,3020,5,5C
110010027022001,0027,2001,1,1D
110010016001002,0016,1002,4,4A
110010004001015,0004,1015,3,3C
110010078092012,0078,2012,7,7C
110010096031004,0096,1004,7,7F
110010073042002,0073,2002,8,8E
110010078092005,0078,2005,7,7C
110010001001008,0001,1008,2,2E
110010078031014,0078,1014,7,7F
110010111002029,0111,2029,5,5C
110010078071005,0078,1005,7,7C
110010014021011,0014,1011,3,3G
110010064002032,0064,2032,6,6D
110010019013007,0019,3007,4,4B
110010077082008,0077,2008,7,7B
110010104001010,0104,1010,8,8C
110010062021054,0062,1054,2,2A
110010049021000,0049,1000,6,6E
110010013011003,0013,1003,3,3F
110010068041002,0068,1002,7,7D
110010001004005,0001,4005,2,2E
110010055001004,0055,1004,2,2B
110010075031015,0075,1015,8,8A
110010026002016,0026,2016,4,4A
110010099052001,0099,2001,7,7E
110010074012001,0074,2001,8,8C
110010084021001,0084,1001,6,6A
110010041002013,0041,2013,2,2D
110010094001000,0094,1000,5,5B
110010062021223,0062,1223,2,2A
110010096042000,0096,2000,7,7D
110010014011013,0014,1013,3,3G
110010007013000,0007,3000,3,3B
110010021014000,0021,4000,4,4D
110010019021017,0019,1017,4,4B
110010098041002,0098,1002,8,8C
110010078071012,0078,1012,7,7C
110010005011005,0005,1005,3,3C
110010033013002,0033,3002,5,5E
110010013023010,0013,3010,3,3F
110010066001007,0066,1007,6,6B
110010015001035,0015,1035,3,3G
110010015003001,0015,3001,3,3G
110010107001010,0107,1010,2,2A
110010009013019,0009,3019,3,3D
110010076042022,0076,2022,7,7B
110010008013011,0008,3011,3,3D
110010107001000,0107,1000,2,2B
110010080022017,0080,2017,6,6A
110010017022008,0017,2008,4,4B
110010093012011,0093,2011,5,5B
110010078062020,0078,2020,7,7C
110010091022012,0091,2012,5,5C
110010084101010,0084,1010,6,6A
110010048011001,0048,1001,6,6E
110010053013000,0053,3000,2,2B
110010020022002,0020,2002,4,4C
110010095031017,0095,1017,5,5A
110010009012000,0009,2000,3,3E
110010099032007,0099,2007,7,7E
110010067001006,0067,1006,6,6B
110010016004032,0016,4032,4,4A
110010013012001,0013,2001,3,3F
110010010014015,0010,4015,3,3E
110010074011024,0074,1024,8,8C
110010075022002,0075,2002,8,8B
110010099012002,0099,2002,7,7B
110010064002006,0064,2006,6,6D
110010005011011,0005,1011,3,3C
110010062021150,0062,1150,2,2C
110010078081015,0078,1015,7,7C
110010062021241,0062,1241,2,2A
110010006004016,0006,4016,3,3C
110010096032004,0096,2004,7,7F
110010106003001,0106,3001,6,6C
110010078043006,0078,3006,7,7C
110010073041004,0073,1004,8,8E
110010010016021,0010,6021,3,3E
110010096031008,0096,1008,7,7F
110010010014020,0010,4020,3,3E
110010084101020,0084,1020,6,6A
110010021022001,0021,2001,4,4B
110010073011093,0073,1093,8,8D
110010080022000,0080,2000,6,6A
110010010013009,0010,3009,3,3E
110010102002010,0102,2010,6,6D
110010078031008,0078,1008,7,7D
110010049012010,0049,2010,6,6E
110010099022004,0099,2004,7,7B
110010008021003,0008,1003,3,3D
110010074072009,0074,2009,8,8A
110010074091002,0074,1002,8,8B
110010078092000,0078,2000,7,7C
110010099061000,0099,1000,7,7E
110010104001013,0104,1013,8,8C
110010032004004,0032,4004,1,1A
110010078061000,0078,1000,7,7D
110010102002034,0102,2034,6,6D
110010019014008,0019,4008,4,4B
110010074081008,0074,1008,8,8B
110010065002010,0065,2010,6,6B
110010009021003,0009,1003,3,3D
110010006004014,0006,4014,3,3C
110010017021008,0017,1008,4,4B
110010062021059,0062,1059,2,2A
110010099011000,0099,1000,7,7B
110010073011021,0073,1021,8,8C
110010010016002,0010,6002,3,3E
110010084101015,0084,1015,6,6A
110010073011122,0073,1122,8,8D
110010020021017,0020,1017,4,4C
110010087022003,0087,2003,5,5E
110010098072003,0098,2003,8,8D
110010015002009,0015,2009,3,3G
110010105002016,0105,2016,6,6D
110010078072008,0078,2008,7,7C
110010010012026,0010,2026,3,3E
110010012002003,0012,2003,3,3E
110010096011032,0096,1032,7,7D
110010020011005,0020,1005,4,4A
110010024002015,0024,2015,4,4C
110010095053020,0095,3020,4,4B
110010098032001,0098,2001,8,8C
110010032004010,0032,4010,1,1B
110010056002024,0056,2024,2,2A
110010014011018,0014,1018,3,3G
110010111002022,0111,2022,5,5C
110010095081009,0095,1009,5,5A
110010037002002,0037,2002,1,1B
110010076041003,0076,1003,7,7B
110010071001016,0071,1016,6,6B
110010094004005,0094,4005,5,5B
110010080011003,0080,1003,6,6A
110010099071001,0099,1001,7,7F
110010003001000,0003,1000,3,3B
110010111003052,0111,3052,5,5D
110010073011060,0073,1060,8,8D
110010076012000,0076,2000,8,8A
110010020012010,0020,2010,4,4A
110010015005005,0015,5005,3,3G
110010095052006,0095,2006,4,4B
110010095042010,0095,2010,5,5B
110010110002015,0110,2015,6,6D
110010029002008,0029,2008,1,1A
110010099011005,0099,1005,7,7B
110010016003002,0016,3002,4,4A
110010022022003,0022,2003,4,4C
110010011003007,0011,3007,3,3G
110010040023001,0040,3001,1,1C
110010078043002,0078,3002,7,7C
110010078041013,0078,1013,7,7C
110010099022002,0099,2002,7,7E
110010098071005,0098,1005,8,8D
110010111001000,0111,1000,5,5C
110010027011001,0027,1001,1,1D
110010095081001,0095,1001,5,5A
110010006003006,0006,3006,3,3C
110010055001002,0055,1002,2,2B
110010014021013,0014,1013,3,3G
110010072002018,0072,2018,6,6B
110010111002002,0111,2002,5,5C
110010013022003,0013,2003,3,3C
110010029001000,0029,1000,1,1A
110010077031004,0077,1004,7,7F
110010104001002,0104,1002,8,8C
110010012004010,0012,4010,3,3F
110010089041004,0089,1004,5,5D
110010095083003,0095,3003,5,5A
110010073041001,0073,1001,8,8B
110010018042006,0018,2006,4,4A
110010073041013,0073,1013,8,8E
110010008012011,0008,2011,3,3D
110010083021006,0083,1006,6,6C
110010026002008,0026,2008,4,4A
110010095042006,0095,2006,5,5A
110010001004010,0001,4010,2,2E
110010065001005,0065,1005,6,6B
110010027023001,0027,3001,1,1D
110010009012001,0009,2001,3,3E
110010050011000,0050,1000,2,2F
110010014012001,0014,2001,3,3G
110010087022001,0087,2001,5,5E
110010034002028,0034,2028,5,5E
110010001001010,0001,1010,2,2E
110010052012008,0052,2008,2,2B
110010016004034,0016,4034,4,4A
110010011004006,0011,4006,3,3E
110010009012017,0009,2017,3,3D
110010009013013,0009,3013,3,3D
110010058001030,0058,1030,2,2C
110010073011052,0073,1052,8,8D
110010104002014,0104,2014,8,8C
110010095093004,0095,3004,5,5A
110010076015011,0076,5011,8,8A
110010109001000,0109,1000,8,8D
110010091022019,0091,2019,5,5C
110010062021234,0062,1234,2,2A
110010089041003,0089,1003,5,5D
110010080021004,0080,1004,6,6A
110010095041008,0095,1008,5,5B
110010065001012,0065,1012,6,6B
110010073011116,0073,1116,8,8D
110010017022012,0017,2012,4,4B
110010106002001,0106,2001,6,6C
110010102002028,0102,2028,6,6D
110010091022002,0091,2002,5,5C
110010099051002,0099,1002,7,7E
110010093021009,0093,1009,5,5B
110010095041002,0095,1002,5,5B
110010078082009,0078,2009,7,7C
110010005021000,0005,1000,3,3C
110010004002002,0004,2002,3,3C
110010023011013,0023,1013,4,4C
110010004001019,0004,1019,3,3C
110010024003000,0024,3000,4,4C
110010099021012,0099,1012,7,7B
110010104002026,0104,2026,8,8C
110010099072001,0099,2001,7,7F
110010024004004,0024,4004,4,4C
110010062021045,0062,1045,2,2A
110010071001005,0071,1005,6,6B
110010011001000,0011,1000,3,3G
110010083021004,0083,1004,6,6C
110010003002005,0003,2005,3,3B
110010099052004,0099,2004,7,7E
110010032004006,0032,4006,1,1B
110010095081005,0095,1005,5,5A
110010099011010,0099,1010,7,7B
110010026002010,0026,2010,4,4A
110010009011003,0009,1003,3,3D
110010011001021,0011,1021,3,3G
110010078061001,0078,1001,7,7C
110010095041022,0095,1022,5,5B
110010028012005,0028,2005,1,1A
110010094002000,0094,2000,5,5B
110010016004026,0016,4026,4,4A
110010066001018,0066,1018,6,6B
110010019011010,0019,1010,4,4B
110010098112005,0098,2005,8,8D
110010098042000,0098,2000,8,8C
110010062021074,0062,1074,2,2A
110010084021007,0084,1007,6,6A
110010037002004,0037,2004,1,1B
110010058001010,0058,1010,2,2C
110010062021048,0062,1048,2,2A
110010107002013,0107,2013,2,2B
110010096021002,0096,1002,7,7D
110010009022031,0009,2031,3,3D
110010101002000,0101,2000,2,2F
110010008012004,0008,2004,3,3D
110010025011012,0025,1012,4,4C
110010102001006,0102,1006,6,6D
110010076042020,0076,2020,7,7B
110010014022000,0014,2000,3,3G
110010105002000,0105,2000,6,6D
110010095041021,0095,1021,5,5B
110010002023000,0002,3000,2,2E
110010109002036,0109,2036,8,8D
110010009012020,0009,2020,3,3D
110010080013003,0080,3003,6,6A
110010099011003,0099,1003,7,7B
110010010013011,0010,3011,3,3E
110010093011009,0093,1009,5,5B
110010009013016,0009,3016,3,3D
110010089032001,0089,2001,5,5D
110010070001016,0070,1016,6,6B
110010013012005,0013,2005,3,3F
110010073011135,0073,1135,8,8C
110010093012020,0093,2020,5,5B
110010077082003,0077,2003,7,7F
110010075032006,0075,2006,8,8A
110010071001015,0071,1015,6,6B
110010015002006,0015,2006,3,3G
110010094001013,0094,1013,5,5B
110010108003009,0108,3009,2,2A
110010087021007,0087,1007,5,5E
110010062021018,0062,1018,2,2C
110010009011017,0009,1017,3,3D
110010056002009,0056,2009,2,2A
110010071001033,0071,1033,6,6B
110010010015016,0010,5016,3,3E
110010111003001,0111,3001,5,5C
110010037003003,0037,3003,1,1B
110010099053003,0099,3003,7,7E
110010021021011,0021,1011,4,4B
110010076012009,0076,2009,8,8A
110010089031006,0089,1006,5,5D
110010078042004,0078,2004,7,7C
110010029001001,0029,1001,1,1A
110010102002005,0102,2005,6,6D
110010081003004,0081,3004,6,6A
110010025012008,0025,2008,4,4C
110010014011000,0014,1000,3,3G
110010019022005,0019,2005,4,4B
110010111001019,0111,1019,5,5C
110010008013028,0008,3028,3,3D
110010096011038,0096,1038,7,7D
110010026002015,0026,2015,4,4A
110010035002000,0035,2000,1,1B
110010046001000,0046,1000,5,5E
110010104002042,0104,2042,8,8C
110010110002000,0110,2000,6,6D
110010083012013,0083,2013,6,6C
110010006002001,0006,2001,3,3C
110010050012006,0050,2006,2,2F
110010073011051,0073,1051,8,8D
110010076013013,0076,3013,8,8A
110010083021009,0083,1009,6,6C
110010016004023,0016,4023,4,4A
110010001001004,0001,1004,2,2E
110010077072017,0077,2017,7,7E
110010067003005,0067,3005,6,6B
110010072002042,0072,2042,6,6D
110010009022035,0009,2035,3,3D
110010040012004,0040,2004,1,1C
110010095013002,0095,3002,5,5A
110010096021001,0096,1001,7,7D
110010071001009,0071,1009,6,6B
110010043002001,0043,2001,2,2B
110010099022005,0099,2005,7,7B
110010032002005,0032,2005,1,1A
110010074092004,0074,2004,8,8B
110010019021011,0019,1011,4,4B
110010062021051,0062,1051,2,2A
110010110002007,0110,2007,6,6D
110010099051009,0099,1009,7,7E
110010070002012,0070,2012,6,6B
110010047021010,0047,1010,6,6E
110010021013003,0021,3003,4,4D
110010023011017,0023,1017,4,4C
110010108001006,0108,1006,2,2A
110010009013024,0009,3024,3,3D
110010007021007,0007,1007,3,3B
110010087022005,0087,2005,5,5E
110010077091013,0077,1013,7,7B
110010023021001,0023,1001,5,5A
110010028021006,0028,1006,1,1C
110010077091020,0077,1020,7,7B
110010001003000,0001,3000,2,2E
110010107001033,0107,1033,2,2B
110010002023004,0002,3004,2,2E
110010074011039,0074,1039,8,8C
110010002023003,0002,3003,2,2E
110010040011000,0040,1000,1,1C
110010088022004,0088,2004,5,5D
110010034002016,0034,2016,1,1B
110010099021001,0099,1001,7,7E
110010005012002,0005,2002,3,3C
110010084101014,0084,1014,6,6A
110010059001014,0059,1014,2,2C
110010105001008,0105,1008,6,6D
110010077082016,0077,2016,7,7B
110010015002005,0015,2005,3,3G
110010025011000,0025,1000,4,4C
110010073011086,0073,1086,8,8D
110010062021056,0062,1056,2,2A
110010077082000,0077,2000,7,7F
110010096011042,0096,1042,7,7D
110010001002005,0001,2005,2,2E
110010001002002,0001,2002,2,2E
110010099042003,0099,2003,7,7E
110010008022005,0008,2005,3,3D
110010001001002,0001,1002,2,2E
110010084022002,0084,2002,6,6A
110010093012021,0093,2021,5,5B
110010099012012,0099,2012,7,7B
110010018032006,0018,2006,4,4A
110010108003003,0108,3003,2,2A
110010074071004,0074,1004,8,8B
110010027022006,0027,2006,1,1D
110010002024028,0002,4028,2,2E
110010001004018,0001,4018,2,2E
110010023012003,0023,2003,4,4C
110010032003005,0032,3005,1,1A
110010023021003,0023,1003,5,5A
110010049021007,0049,1007,2,2F
110010096021026,0096,1026,7,7D
110010010016013,0010,6013,3,3E
110010077032001,0077,2001,7,7F
110010076033009,0076,3009,7,7B
110010059001031,0059,1031,6,6C
110010015004006,0015,4006,3,3G
110010087012003,0087,2003,5,5E
110010029002003,0029,2003,1,1A
110010007021002,0007,1002,3,3B
110010073011029,0073,1029,8,8C
110010077033000,0077,3000,7,7F
110010036002000,0036,2000,1,1A
110010011004020,0011,4020,3,3E
110010092011001,0092,1001,5,5E
110010088023001,0088,3001,5,5D
110010020021008,0020,1008,4,4C
110010062021073,0062,1073,2,2A
110010008021006,0008,1006,3,3D
110010042011004,0042,1004,2,2B
110010088031000,0088,1000,5,5D
110010078071010,0078,1010,7,7C
110010024002008,0024,2008,4,4C
110010072001027,0072,1027,6,6D
110010102002012,0102,2012,6,6D
110010108002020,0108,2020,2,2A
110010058001040,0058,1040,2,2C
110010096011011,0096,1011,7,7D
110010087011004,0087,1004,5,5E
110010083012006,0083,2006,6,6C
110010062021245,0062,1245,2,2A
110010078041015,0078,1015,7,7C
110010106002052,0106,2052,6,6C
110010011003005,0011,3005,3,3G
110010111001013,0111,1013,5,5C
110010078081007,0078,1007,7,7C
110010096033004,0096,3004,7,7F
110010064002033,0064,2033,6,6D
110010015005007,0015,5007,3,3G
110010076033008,0076,3008,7,7B
110010011001008,0011,1008,3,3G
110010088031020,0088,1020,5,5D
110010072001001,0072,1001,6,6B
110010077092000,0077,2000,7,7B
110010108002023,0108,2023,2,2A
110010022022007,0022,2007,4,4C
110010040013008,0040,3008,1,1C
110010088023000,0088,3000,5,5D
110010099072006,0099,2006,7,7F
110010078062011,0078,2011,7,7D
110010069001001,0069,1001,6,6B
110010011003004,0011,3004,3,3G
110010006002009,0006,2009,3,3C
110010096021029,0096,1029,7,7D
110010073011114,0073,1114,8,8D
110010099052007,0099,2007,7,7E
110010068022003,0068,2003,6,6B
110010004002020,0004,2020,3,3C
110010028022006,0028,2006,1,1A
110010038001001,0038,1001,1,1C
110010023011011,0023,1011,4,4C
110010062021155,0062,1155,6,6D
110010082001002,0082,1002,6,6C
110010028021004,0028,1004,1,1A
110010023011001,0023,1001,4,4C
110010010013007,0010,3007,3,3E
110010025021001,0025,1001,4,4C
110010080021013,0080,1013,6,6A
110010053014005,0053,4005,2,2B
110010106002007,0106,2007,5,5E
110010077092011,0077,2011,7,7B
110010015004008,0015,4008,3,3G
110010078062001,0078,2001,7,7D
110010074031001,0074,1001,8,8B
110010015001027,0015,1027,3,3G
110010062021222,0062,1222,2,2A
110010089031009,0089,1009,5,5D
110010068012005,0068,2005,6,6B
110010076013002,0076,3002,8,8A
110010076033002,0076,3002,7,7B
110010062021209,0062,1209,6,6D
110010102002039,0102,2039,6,6D
110010094001006,0094,1006,5,5B
110010099012026,0099,2026,7,7B
110010068011001,0068,1001,6,6B
110010068022002,0068,2002,6,6B
110010078032003,0078,2003,7,7D
110010098102005,0098,2005,8,8D
110010013022002,0013,2002,3,3F
110010099041005,0099,1005,7,7E
110010072002029,0072,2029,6,6D
110010074011029,0074,1029,8,8C
110010080012003,0080,2003,6,6A
110010015001003,0015,1003,4,4A
110010019014003,0019,4003,4,4B
110010046002019,0046,2019,5,5E
110010042022000,0042,2000,2,2B
110010080011005,0080,1005,6,6A
110010110002010,0110,2010,6,6D
110010108001001,0108,1001,2,2A
110010053014000,0053,4000,2,2B
110010019022017,0019,2017,4,4B
110010102002029,0102,2029,6,6D
110010041003022,0041,3022,2,2D
110010076034006,0076,4006,7,7B
110010096011034,0096,1034,7,7D
110010062021202,0062,1202,6,6D
110010062021208,0062,1208,6,6D
110010088031018,0088,1018,5,5D
110010080022005,0080,2005,6,6A
110010073011049,0073,1049,8,8D
110010023021014,0023,1014,5,5A
110010015002001,0015,2001,3,3G
110010044002001,0044,2001,1,1B
110010095042014,0095,2014,5,5A
110010076042021,0076,2021,7,7B
110010073011034,0073,1034,8,8D
110010004002026,0004,2026,3,3C
110010011004012,0011,4012,3,3E
110010006003001,0006,3001,3,3C
110010023021013,0023,1013,5,5A
110010014011007,0014,1007,3,3G
110010003003007,0003,3007,2,2E
110010037001003,0037,1003,1,1B
110010012004027,0012,4027,3,3F
110010078062016,0078,2016,7,7C
110010014012009,0014,2009,3,3G
110010111001029,0111,1029,5,5C
110010055005000,0055,5000,2,2B
110010002023005,0002,3005,2,2E
110010059001036,0059,1036,2,2C
110010078041002,0078,1002,7,7C
110010076033004,0076,3004,7,7B
110010018032005,0018,2005,4,4A
110010089041006,0089,1006,5,5D
110010015003002,0015,3002,3,3G
110010010023004,0010,3004,3,3E
110010111003023,0111,3023,5,5C
110010091022017,0091,2017,5,5C
110010103003003,0103,3003,4,4B
110010099012023,0099,2023,7,7B
110010017021028,0017,1028,4,4B
110010020023013,0020,3013,4,4C
110010106002028,0106,2028,6,6C
110010025012005,0025,2005,4,4C
110010110004000,0110,4000,6,6D
110010023011006,0023,1006,4,4C
110010095052012,0095,2012,4,4B
110010088042002,0088,2002,5,5D
110010033013003,0033,3003,5,5E
110010096011030,0096,1030,7,7D
110010023021015,0023,1015,5,5A
110010032003002,0032,3002,1,1A
110010098072007,0098,2007,8,8D
110010008014004,0008,4004,3,3D
110010102002037,0102,2037,6,6D
110010092032001,0092,2001,5,5E
110010069001002,0069,1002,6,6B
110010020021012,0020,1012,4,4C
110010004001009,0004,1009,3,3C
110010071002005,0071,2005,6,6B
110010078092003,0078,2003,7,7C
110010073011067,0073,1067,8,8D
110010111003031,0111,3031,5,5C
110010022012015,0022,2015,4,4C
110010073011054,0073,1054,8,8D
110010073011065,0073,1065,8,8D
110010083011007,0083,1007,6,6C
110010062021130,0062,1130,2,2C
110010020021009,0020,1009,4,4C
110010008013027,0008,3027,3,3D
110010080022019,0080,2019,6,6A
110010024003002,0024,3002,4,4C
110010015001029,0015,1029,3,3G
110010062021239,0062,1239,2,2A
110010013012013,0013,2013,3,3F
110010078061009,0078,1009,7,7C
110010056004004,0056,4004,2,2A
110010018032004,0018,2004,4,4A
110010099021006,0099,1006,7,7E
110010094002007,0094,2007,5,5B
110010023012013,0023,2013,4,4C
110010081002000,0081,2000,6,6A
110010082002017,0082,2017,6,6C
110010005022001,0005,2001,3,3C
110010083012010,0083,2010,6,6C
110010010011010,0010,1010,3,3E
110010052014001,0052,4001,2,2F
110010010023006,0010,3006,3,3C
110010012004001,0012,4001,3,3F
110010012003001,0012,3001,3,3F
110010021011008,0021,1008,4,4D
110010008013013,0008,3013,3,3D
110010011004014,0011,4014,3,3E
110010095052014,0095,2014,4,4B
110010022013002,0022,3002,4,4D
110010052012001,0052,2001,2,2B
110010005012004,0005,2004,3,3C
110010099012005,0099,2005,7,7B
110010031001000,0031,1000,1,1A
110010095091008,0095,1008,5,5A
110010027014000,0027,4000,1,1D
110010012004004,0012,4004,3,3E
110010095051003,0095,1003,4,4B
110010044002004,0044,2004,1,1B
110010107001004,0107,1004,2,2B
110010064002022,0064,2022,6,6D
110010104001008,0104,1008,8,8C
110010028021003,0028,1003,1,1A
110010073011089,0073,1089,8,8D
110010067003012,0067,3012,6,6B
110010099061008,0099,1008,7,7F
110010019022010,0019,2010,4,4B
110010021024004,0021,4004,4,4B
110010058002014,0058,2014,2,2C
110010016003015,0016,3015,4,4A
110010106002032,0106,2032,6,6C
110010058001041,0058,1041,2,2C
110010093021017,0093,1017,5,5B
110010014023003,0014,3003,3,3G
110010095052011,0095,2011,4,4B
110010111001027,0111,1027,5,5C
110010011003002,0011,3002,3,3G
110010028012006,0028,2006,1,1A
110010058001044,0058,1044,2,2C
110010065002014,0065,2014,6,6B
110010106002038,0106,2038,6,6C
110010011004026,0011,4026,3,3E
110010048022001,0048,2001,6,6E
110010078081009,0078,1009,7,7C
110010017021026,0017,1026,4,4B
110010064001009,0064,1009,6,6D
110010111003007,0111,3007,5,5C
110010008012013,0008,2013,3,3D
110010084021008,0084,1008,6,6A
110010011002009,0011,2009,3,3E
